"Cooperativa","DEPARTAMENTO","PROVINCIA","DISTRITO","GPS_longitude","GPS_latitude","cos_kgha_1","cos_kgha_2","month_floracion","date_start","date_end","date_harvested"
"aprocassi","Cajamarca","San ignacio","San ignacio",-79.0474414,-5.0306925,NA,45,"septiembre",2022-05-04,2022-05-07,NA
"aprocassi","Cajamarca","San ignacio","San ignacio",-79.0463288,-5.0389139,NA,1.44927536231884,"septiembre",2022-05-04,2022-05-04,NA
"aprocassi","Cajamarca","San Ignacio","San Jose de Louerdes",-78.8455911,-5.1821272,NA,30,"octubre",2022-05-02,2022-05-05,2022-05-02
"aprocassi","Cajamarca","San Ignacio","San José de Lourdes",-78.844439,-5.1821596,NA,20,"octubre",2022-05-02,2022-05-02,2022-05-02
"aprocassi","Cajamarca","San Ignacio","San José de Lourdes",-78.8464988,-5.180502,NA,25,"octubre",2022-05-02,2022-05-02,2017-04-05
"aprocassi","Cajamarca","San Ignacio","San José de Lourdes",-78.8472587,-5.1813481,NA,31,"octubre",2022-05-02,2022-05-02,2013-03-06
"aprocassi","Cajamarca","San Ignacio","San José de Lourdes",-78.8479747,-5.1823076,NA,20,"octubre",2022-05-02,2022-05-02,2012-03-07
"aprocassi","Cajamarca","San Ignacio","San Ignacio",-79.0585436,-5.1453317,NA,20,"noviembre",2022-05-03,2022-05-03,2020-06-02
"aprocassi","Cajamarca","San Ignacio","San Ignacio",-79.0561469,-5.1476958,NA,22,"noviembre",2022-05-03,2022-05-03,2012-05-03
"aprocassi","Cajamarca","San Ignacio","San Ignacio",-79.0551503,-5.1494693,NA,32,"noviembre",2022-05-03,2022-05-03,2016-07-07
"aprocassi","Cajamarca","San Ignacio","San Ignacio",-79.0543957,-5.1513339,NA,30,"noviembre",2022-05-03,2022-05-04,2020-05-28
"aprocassi","Cajamarca","San Ignacio","San José de Lourdes",-78.8462777,-5.1797457,NA,30,"octubre",2022-05-02,2022-05-02,NA
"aprocassi","Cajamarca","San Ignacio","San José de Lourdes",-78.8344375,-5.1756051,NA,30,"agosto",2022-05-02,2022-05-09,2022-03-21
"aprocassi","Cajamarca","San Ignacio","San Ignacio",-79.0491585,-5.0956486,NA,30,"septiembre",2022-05-09,2022-05-09,2022-04-14
"aprocassi","Cajamarca","San Ignacio","San Ignacio",-79.0486816,-5.0947529,NA,25,"septiembre",2022-05-09,2022-05-14,2022-04-20
"aprocassi","Cajamarca","San Ignacio","San Ignacio",-79.0494869,-5.0878079,NA,20,"septiembre",2022-05-09,2022-05-09,2022-04-20
"aprocassi","Cajamarca","San Ignacio","San Ignacio",-79.0515308,-5.0858243,NA,1.81159420289855,"septiembre",2022-05-09,2022-05-14,NA
"aprocassi","Cajamarca","San Ignacio","San Ignacio",-79.0442319,-5.1080679,NA,30,"septiembre",2022-05-09,2022-05-14,NA
"aprocassi","Cajamarca","San Ignacio","San Ignacio",-79.0516816,-5.0562296,NA,41,"septiembre",2022-05-04,2022-05-11,2022-04-12
"aprocassi","Cajamarca","San Ignacio","San Ignacio",-79.0494641,-5.0414651,NA,30,"octubre",2022-05-04,2022-05-11,2022-04-12
"aprocassi","Cajamarca","San Ignacio","San Ignacio",-79.0491249,-5.0425275,NA,10,"septiembre",2022-05-04,2022-05-11,NA
"aprocassi","Cajamarca","San ignacio","San Jose de Lourdes",-78.8773187,-5.1874254,NA,1.44927536231884,"septiembre",2022-05-05,2022-05-07,NA
"aprocassi","Cajamarca","San ingacio","Sanjose de lourdes",-78.8635651,-5.1993813,NA,30,"septiembre",2022-05-05,2022-05-17,NA
"aprocassi","Cajamarca","San ignacio","San ignacio",-79.0465913,-5.0886497,NA,40,"octubre",2022-05-09,2022-05-11,NA
"aprocassi","Cajamarca","San Ignacio","San Jose de Lourdes",-78.8619476,-5.2013349,NA,30,"agosto",2022-05-05,2022-05-11,NA
"aprocassi","Cajamarca","San Ignacio","San Jose de Lourdes",-78.8633482,-5.2004749,NA,40,"septiembre",2022-05-05,2022-05-11,2022-04-26
