"cell","percentile","prec","prec_date","cos_kgha_1","cos_kgha_2"
25841,"96%",37.405022277832,25.8964138031006,3036,3036
25841,"97%",37.5427059936523,25.8964138031006,3036,3036
25841,"98%",37.6803897094727,25.8964138031006,3036,3036
25841,"99%",37.818073425293,25.8964138031006,3036,3036
25841,"100%",37.9557571411133,25.8964138031006,3036,3036
25841,"90%",41.7332893371582,34.4098052978516,1490.4,1490.4
25841,"91%",42.633731880188,34.4098052978516,1490.4,1490.4
25841,"92%",43.3433613586426,34.4098052978516,1490.4,1490.4
25841,"93%",44.0529908370972,34.4098052978516,1490.4,1490.4
25841,"94%",45.2569285583496,34.4098052978516,1490.4,1490.4
25841,"95%",47.0610977172852,34.4098052978516,1490.4,1490.4
25841,"96%",48.8652668762207,34.4098052978516,1490.4,1490.4
25841,"97%",50.3638522720337,34.4098052978516,1490.4,1490.4
25841,"98%",50.8147219085693,34.4098052978516,1490.4,1490.4
25841,"99%",51.265591545105,34.4098052978516,1490.4,1490.4
25841,"100%",51.7164611816406,34.4098052978516,1490.4,1490.4
25841,"90%",42.3300018310547,17.1838188171387,1280.64,3201.6
25841,"91%",42.4538925170898,17.1838188171387,1280.64,3201.6
25841,"92%",42.894019317627,17.1838188171387,1280.64,3201.6
25841,"93%",43.5713232040405,17.1838188171387,1280.64,3201.6
25841,"94%",44.2486270904541,17.1838188171387,1280.64,3201.6
25841,"95%",45.8971176147461,17.1838188171387,1280.64,3201.6
25841,"96%",47.9340827941895,17.1838188171387,1280.64,3201.6
25841,"97%",49.9710479736328,17.1838188171387,1280.64,3201.6
25841,"98%",50.6983684539795,17.1838188171387,1280.64,3201.6
25841,"99%",51.2074148178101,17.1838188171387,1280.64,3201.6
25841,"100%",51.7164611816406,17.1838188171387,1280.64,3201.6
25841,"90%",22.4860906600952,10.8627624511719,761.76,69
25841,"91%",22.832460975647,10.8627624511719,761.76,69
25841,"92%",23.1668464660645,10.8627624511719,761.76,69
25841,"93%",23.5012319564819,10.8627624511719,761.76,69
25841,"94%",24.5284290313721,10.8627624511719,761.76,69
25841,"95%",26.396897315979,10.8627624511719,761.76,69
25841,"96%",28.2653656005859,10.8627624511719,761.76,69
25841,"97%",29.9070933151245,10.8627624511719,761.76,69
25841,"98%",30.7714247894287,10.8627624511719,761.76,69
25841,"99%",31.6357562637329,10.8627624511719,761.76,69
25841,"100%",32.5000877380371,10.8627624511719,761.76,69
25841,"90%",42.3653991699219,14.1484756469727,735.816,2208
25841,"91%",42.4857501220703,14.1484756469727,735.816,2208
25841,"92%",43.0488316345215,14.1484756469727,735.816,2208
25841,"93%",43.7067839813233,14.1484756469727,735.816,2208
25841,"94%",44.364736328125,14.1484756469727,735.816,2208
25841,"95%",46.1881126403809,14.1484756469727,735.816,2208
25841,"96%",48.1668788146973,14.1484756469727,735.816,2208
25841,"97%",50.1456449890137,14.1484756469727,735.816,2208
25841,"98%",50.727456817627,14.1484756469727,735.816,2208
25841,"99%",51.2219589996338,14.1484756469727,735.816,2208
25841,"100%",51.7164611816406,14.1484756469727,735.816,2208
25841,"90%",42.2946044921875,18.4417915344238,1048.8,2097.6
25841,"91%",42.4220349121094,18.4417915344238,1048.8,2097.6
25841,"92%",42.7392070007324,18.4417915344238,1048.8,2097.6
25841,"93%",43.4358624267578,18.4417915344238,1048.8,2097.6
25841,"94%",44.1325178527832,18.4417915344238,1048.8,2097.6
25841,"95%",45.6061225891113,18.4417915344238,1048.8,2097.6
25841,"96%",47.7012867736817,18.4417915344238,1048.8,2097.6
25841,"97%",49.796450958252,18.4417915344238,1048.8,2097.6
25841,"98%",50.669280090332,18.4417915344238,1048.8,2097.6
25841,"99%",51.1928706359863,18.4417915344238,1048.8,2097.6
25841,"100%",51.7164611816406,18.4417915344238,1048.8,2097.6
25841,"90%",42.2592071533203,18.8536567687988,552,552
25841,"91%",42.3901773071289,18.8536567687988,552,552
25841,"92%",42.5843946838379,18.8536567687988,552,552
25841,"93%",43.3004016494751,18.8536567687988,552,552
