,Cooperativa,dpto,PROVINCIA,dstr,lon,lat,cos_kgha_1,cos_kgha_2,month_floracion,date_start,date_end,date_hrvs
77,norandino,Piura,Huancabamba,Lalaquiz,-79.6445914,-5.1868639,10,20,septiembre,3/21/2022,3/21/2022,6/1/2022
78,norandino,Piura,Huancabamba,Lalaquiz,-79.6451506,-5.1889927,13,1.177536232,septiembre,3/21/2022,3/21/2022,3/21/2022
79,norandino,Lambayeque,Lambayeque,Salas,-79.4850761,-6.0380095,10,5,septiembre,3/20/2022,3/21/2022,7/14/2022
80,norandino,Lambayeque,Lambayeque,Salas,-79.4852518,-6.0386035,6,6,septiembre,3/20/2022,3/20/2022,7/9/2020
81,norandino,Lambayeque,Lambayeque,Salas,-79.4999957,-6.0203527,20,10,septiembre,3/20/2022,3/20/2022,7/16/2020
82,norandino,Lambayeque,Lambayeque,Salas,-79.5003693,-6.0288315,15,15,septiembre,3/20/2022,3/21/2022,7/11/2019
83,norandino,Lambayeque,Lambayeque,Distrito,-79.4989393,-6.0341339,20,5,septiembre,3/21/2022,3/21/2022,7/11/2019
84,norandino,Lambayeque,Ferreñafe,Kañaris,-79.510136,-6.0237771,20,10,septiembre,3/19/2022,3/21/2022,7/17/2014
85,norandino,LAMBAYEQUE,LAMBAYEQUE,SALAS,-79.4759073,-6.1477157,3,3,octubre,3/20/2022,3/20/2022,8/25/2016
86,norandino,Lambayeque,Ferreñafe,Kañaris,-79.5497292,-5.9991168,2.14,3,octubre,3/16/2022,3/16/2022,7/31/2022
87,norandino,Lambayeque,Ferreñafe,Kañaris,-79.5500379,-5.9999216,12,6,octubre,3/16/2022,3/16/2022,7/31/2022
88,norandino,Lambayeque,Ferreñafe,Kañaris,-79.5506558,-6.0021277,0,0,septiembre,3/16/2022,3/16/2022,7/9/2022
89,norandino,Lambayeque,Ferreñafe,Kañaris,-79.5464452,-6.0033431,47.95,35,octubre,3/17/2022,3/17/2022,5/30/2022
90,norandino,Departamento,Ferreñafe,Kañariz,-79.5481431,-6.0052818,12,6,septiembre,3/17/2022,3/17/2022,6/2/2022
91,norandino,Lambayeque,Ferreñafe,Kañaris,-79.5486167,-6.0029127,25,25,septiembre,3/17/2022,3/17/2022,5/1/2022
92,norandino,"Lambayeque
",Ferreñafe,Kañaris,-79.5435584,-6.0047252,4.12,14,septiembre,3/17/2022,3/17/2022,7/1/2022
93,norandino,Lambayeque,Ferreñafe,Kañaris,-79.5440184,-6.0049471,40,10,septiembre,3/17/2022,3/17/2022,6/16/2022
94,norandino,Lambayeque @@,Ferreñafe,Kañaris,-79.5456166,-6.0081212,13.33,20,octubre,3/17/2022,3/17/2022,6/3/2022
95,norandino,Lambayeque,Ferreñafe,Kañaris,-79.5433379,-6.0097688,20,20,octubre,3/17/2022,3/17/2022,8/1/2022
96,norandino,Lambayeque,Ferreñafe,Kañaris,-79.5322448,-6.0044417,15,30,octubre,3/18/2022,3/18/2022,6/2/2022
