"","cell","date_start","date_end","lon","lat","dpto","dstr","date_hrvs","month_floracion","cos_kgha_1","cos_kgha_2"
"362",58331,2022-03-30,2022-04-06,-74.3207873,-11.5503107,"Junín","Pangoa",2016-12-18,"octubre",1159.2,105
"363",58332,2022-03-30,2022-04-06,-74.2907252,-11.5530263,"Junín","Pangoa",2015-12-18,"septiembre",1104,210
"364",57318,2022-03-29,2022-04-06,-74.3711943,-11.3597781,"Junín","Pangoa",2016-03-15,"octubre",2815.2,102
"365",57318,2022-03-29,2022-04-06,-74.3830933,-11.3524676,"Junín","Pangoa",2017-12-09,"octubre",1419.192,90
"366",57318,2022-03-29,2022-04-06,-74.3618009,-11.3525291,"Junín","Pangoa",2016-11-25,"septiembre",1196.184,130
"367",57318,2022-03-25,2022-04-06,-74.3862983,-11.3503691,"Junín","Pangoa",2016-12-10,"octubre",1214.4,110
"368",57318,2022-03-25,2022-04-06,-74.3906328,-11.3572253,"Junín","Pangoa",2014-11-30,"octubre",797.088,65
"369",57318,2022-03-25,2022-04-06,-74.3891993,-11.3557896,"Junín","Pangoa",2017-11-12,"octubre",1435.2,65
"370",57318,2022-03-25,2022-04-06,-74.3625301,-11.3540604,"Junín","Pangoa",2017-10-15,"octubre",1380,75
"371",57065,2022-03-25,2022-04-06,-74.3895779,-11.3472963,"Junín","Pangoa",2018-01-15,"septiembre",568.008,993.6
"372",57318,2022-03-25,2022-04-06,-74.3848246,-11.3737854,"Junín","Pangoa",2016-12-16,"octubre",1159.2,105
"373",57319,2022-04-05,2022-04-06,-74.3013858,-11.3823963,"Junin","Pangoa",2012-02-21,"octubre",125.304,1380
"374",57319,2022-04-05,2022-04-06,-74.3011916,-11.3854649,"Junin","Pangoa",2009-02-18,"octubre",331.2,1656
"375",57319,2022-04-05,2022-04-05,-74.3055463,-11.3850661,"Junin","Pangoa",2013-02-06,"octubre",607.2,1214.4
"376",25840,2022-04-06,2022-04-06,-79.6968325,-5.1661777,"Piura","Lalaquiz",NA,"octubre",993.6,496.8
"377",25840,2022-04-06,2022-04-06,-79.6963863,-5.1671133,"Piura","Lalaquiz",NA,"octubre",414,828
"378",25840,2022-04-06,2022-04-06,-79.6969861,-5.1688499,"Piura","Lalaquiz",NA,"octubre",441.6,441.6
"379",25840,2022-04-06,2022-04-06,-79.6978706,-5.1694959,"Piura","Lalaquiz",NA,"octubre",1104,2208
"380",25840,2022-04-06,2022-04-07,-79.6968684,-5.1685594,"Piura","Lalaquiz",NA,"octubre",414,828
"381",25840,2022-04-07,2022-04-07,-79.6889617,-5.1717453,"Piura","Lalaquiz",NA,"octubre",70,70
"382",25840,2022-04-07,2022-04-07,-79.6889712,-5.1705015,"Piura","Lalaquiz",NA,"octubre",828,1656
"383",57569,2022-04-07,2022-04-07,-74.491103,-11.4263181,"Junin","Pangoa",2013-03-01,"octubre",441.6,1324.8
"384",57569,2022-04-07,2022-04-07,-74.491052,-11.4263307,"Junin","Pangoa",2011-11-03,"octubre",966,140
"385",57569,2022-04-07,2022-04-07,-74.4911048,-11.4263224,"Junin","Pangoa",2010-11-12,"octubre",621,2484
"386",26093,2022-04-07,2022-04-07,-79.6537542,-5.2162045,"Piura","Lalaquiz",2018-04-07,"septiembre",552,1656
"387",26093,2022-04-07,2022-04-07,-79.652509,-5.2167166,"Piura","Lalaquiz",2012-04-07,"septiembre",828,1656
"388",26093,2022-04-07,2022-04-07,-79.6524821,-5.2167043,"Piura","Lalaquiz",2014-04-07,"septiembre",552,1104
"389",26093,2022-04-07,2022-04-07,-79.650305,-5.2134074,"Piura","Lalaquiz",2012-04-07,"septiembre",828,828
"390",26093,2022-04-07,2022-04-07,-79.6512123,-5.2079991,"Piura","Lalaquiz",2008-04-07,"septiembre",183.816,276
"391",25841,2022-04-08,2022-04-08,-79.6468029,-5.198722,"Piura","Lalaquiz",2007-04-08,"septiembre",745.2,2980.8
